title,mileage,price,location,link,date_scraped
2003 Audi a4 1.8T Convertible 2D,69K miles,"$7,000","Phoenix, AZ",www.facebook.com/marketplace/item/394116026245118/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2018 Nissan altima 2.5 S Sedan 4D,131K miles,"$2,500","Phoenix, AZ",www.facebook.com/marketplace/item/740130280858967/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Audi a4 1.8T Convertible 2D,130K miles,$99,"Phoenix, AZ",www.facebook.com/marketplace/item/1526793881165135/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Dodge charger,50K miles,"$1,000","Phoenix, AZ",www.facebook.com/marketplace/item/1524617314678759/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
1999 Mercury sable LS Wagon 4D,101K miles,"$1,750","Phoenix, AZ",www.facebook.com/marketplace/item/713169447135200/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2004 Honda accord LX Sedan 4D,126K miles,"$3,500","Phoenix, AZ",www.facebook.com/marketplace/item/982455339407448/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2017 Chevrolet malibu LS Sedan 4D,91K miles,$600,"Phoenix, AZ",www.facebook.com/marketplace/item/845219159967529/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2006 Nissan sentra Sedan 4D,200K miles,"$3,000","Phoenix, AZ",www.facebook.com/marketplace/item/885578772698136/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2016 Nissan altima 3.5 SR Sedan 4D,75K miles,"$9,000","Phoenix, AZ",www.facebook.com/marketplace/item/726778992245687/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
2005 Ford focus ZX3 S Hatchback 2D,111K miles,"$3,200","Phoenix, AZ",www.facebook.com/marketplace/item/699178955024472/?ref=search&referral_code=null&referral_story_type=post&__tn__=!%3AD,2023-02-27
